role;idPer;idObra;
actor;10675;3762;
actor;10678;2596;
actor;1067;1016;
actor;1067;1031;
actor;1067;1069;
actor;1067;117;
actor;1067;1269;
actor;1067;1329;
actor;1067;1521;
actor;1067;1538;
actor;1067;161;
actor;1067;1625;
actor;1067;1672;
actor;1067;1723;
actor;1067;1743;
actor;1067;1831;
actor;1067;1854;
actor;1067;2021;
actor;1067;206;
actor;1067;2241;
actor;1067;2252;
actor;1067;2303;
actor;1067;2554;
actor;1067;2752;
actor;1067;2924;
actor;1067;2965;
actor;1067;3045;
actor;1067;3063;
actor;1067;3068;
actor;1067;3147;
actor;1067;3248;
actor;1067;3264;
actor;1067;3356;
actor;1067;3369;
actor;1067;3383;
actor;1067;3743;
actor;1067;3761;
actor;1067;3837;
actor;1067;3838;
actor;1067;3872;
actor;1067;418;
actor;1067;4196;
actor;1067;4244;
actor;1067;4320;
actor;1067;4555;
actor;1067;456;
actor;1067;4798;
actor;1067;481;
actor;1067;4831;
actor;1067;493;
actor;1067;5025;
actor;1067;5043;
actor;1067;5057;
actor;1067;5154;
actor;1067;5259;
actor;1067;5334;
actor;1067;5661;
actor;1067;648;
actor;1067;733;
actor;10680;5123;
actor;10681;5002;
actor;10685;5265;
actor;10690;1979;
actor;10691;5394;
actor;10692;1613;
actor;10692;1630;
actor;10692;1661;
actor;10692;167;
actor;10692;1849;
actor;10692;2031;
actor;10692;2046;
actor;10692;206;
actor;10692;2264;
actor;10692;2487;
actor;10692;2535;
actor;10692;2757;
actor;10692;2877;
actor;10692;2891;
actor;10692;2948;
actor;10692;3059;
actor;10692;3108;
actor;10692;3271;
actor;10692;338;
actor;10692;3426;
actor;10692;3609;
actor;10692;3720;
actor;10692;3759;
actor;10692;3761;
actor;10692;4066;
actor;10692;4084;
actor;10692;4281;
actor;10692;4393;
actor;10692;4405;
actor;10692;4501;
actor;10692;4621;
actor;10692;4668;
actor;10692;5056;
actor;10692;5112;
actor;10692;5212;
actor;10692;5387;
actor;10692;54;
actor;10692;5522;
actor;10692;5523;
actor;10692;5524;
actor;10692;602;
actor;10692;688;
actor;10692;689;
actor;10692;773;
actor;10692;972;
actor;10692;977;
actor;10695;2319;
actor;10695;297;
actor;10697;1611;
actor;10698;4478;
actor;10699;573;
actor;10701;274;
actor;10702;2603;
actor;10704;3742;
actor;10705;238;
actor;10708;5135;
actor;10713;3953;
actor;10714;2790;
