series_years_ini;series_years_fin;idObra;
1997;????;4003;
1976;????;4004;
1981;????;4005;
1993;????;4015;
1992;????;4016;
1999;2000;4019;
1995;????;4022;
1991;????;4031;
1990;????;4040;
1997;2004;4045;
1999;2004;4050;
1989;????;4055;
1998;????;4057;
1983;1984;4058;
1984;????;4069;
1996;1998;4072;
1999;????;4073;
1998;2001;4074;
1999;????;4075;
1993;????;4081;
1994;????;4084;
1987;????;4088;
1992;????;4091;
1994;????;4095;
1990;????;4101;
1995;????;4102;
1990;1995;4103;
1997;1998;4104;
1998;????;4107;
1999;2004;4109;
1998;2005;4110;
1991;1992;4111;
1994;????;4112;
1993;????;4113;
1993;1994;4115;
1989;????;4118;
1993;????;4119;
1999;????;4123;
1982;1984;4127;
1997;????;4130;
1996;1997;4133;
1979;????;4134;
1989;1990;4138;
1986;????;4139;
1984;????;4150;
1995;1997;4151;
1986;????;4154;
1996;????;4046;
1987;1988;4143;
1995;????;4145;
1999;2001;4146;
1987;????;4162;
1986;????;4168;
1989;1991;4170;
1995;????;4171;
1992;????;4174;
1995;1996;4176;
1987;????;4178;
1992;????;4181;
1975;????;4182;
1981;1982;4184;
1989;????;4190;
1984;1985;4193;
1994;????;4200;
1987;????;4201;
1996;1997;4202;
1985;1987;4211;
1991;1993;4209;
1978;1981;4223;
1992;????;4224;
1989;????;4237;
1997;????;4238;
1988;1990;4239;
1981;1982;4247;
1983;????;4249;
1976;1977;4266;
1976;????;4272;
1998;????;4276;
1989;1990;4285;
1993;????;4284;
1997;????;4286;
1999;????;4289;
1992;????;4288;
1997;????;4294;
1997;????;4293;
1998;????;4298;
1994;????;4302;
1980;2011;4305;
1985;????;4306;
1997;????;4311;
1991;1996;4314;
1989;1994;4315;
1995;????;4319;
1997;????;4323;
1993;????;4324;
1981;????;4337;
1998;????;4338;
1997;????;4251;
1995;????;4347;
1989;????;4348;
1992;????;4351;
1996;????;4352;
1991;????;4357;
1989;1990;4359;
1995;????;4361;
1999;????;4362;
1998;2000;4369;
